Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler\butleji01,33:25,8,13,.615,2,4,.500,5,5,1.000,0,2,2,5,2,0,2,0,23,-14
Duncan Robinson\robindu01,27:03,0,3,.000,0,3,.000,0,0,,0,4,4,0,0,0,0,2,0,-8
Jae Crowder\crowdja01,24:30,4,8,.500,4,7,.571,0,0,,0,2,2,0,0,2,0,3,12,-21
Bam Adebayo\adebaba01,21:10,2,8,.250,0,0,,4,6,.667,2,2,4,0,0,0,0,2,8,-12
Goran Dragić\dragigo01,14:50,3,8,.375,0,1,.000,0,0,,0,1,1,3,2,0,1,0,6,+1
Tyler Herro\herroty01,30:15,6,18,.333,2,8,.250,0,1,.000,0,4,4,3,0,0,2,1,14,-35
Andre Iguodala\iguodan01,25:23,3,7,.429,1,2,.500,0,0,,2,3,5,6,0,1,1,3,7,-25
Kendrick Nunn\nunnke01,19:49,8,11,.727,2,4,.500,0,0,,1,4,5,2,0,0,0,0,18,+8
Kelly Olynyk\olynyke01,18:04,1,5,.200,0,2,.000,2,2,1.000,0,5,5,4,0,2,1,2,4,+14
Solomon Hill\hillso01,18:02,2,6,.333,0,4,.000,0,0,,0,3,3,0,0,0,0,2,4,+3
Derrick Jones\jonesde02,7:29,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-1
